사가랴가	zachariah
failed to convert "요림의": translation failed
3디도	titius
예루살렘	yerushalayim
주로	
살로메가	salome
예수님은	yeshua
나손의	nahshon
우르바노와	stachys
히에라볼리에	hierapolis
3마귀가	belial
레기온으로	rhegium
가룟	iscariot
가바다’라고	gabbatha
야곱의	jakub
묻혔습니다	sychem
헤롯은	herodes
failed to convert "마할랄렐의": translation failed
베들레헴으로	bethlehem
지낸	puteoli
맛디아가	matthias
아사는	
하갈은	hagar
추장의	publius
failed to convert "필라델피아": translation failed
아들이란	nain
가문에	hanan
바울은	paulos
엘리	
지파별로	gad
추방되었습니다	patmos
순두게	syntyche
레위	levi
내려가면서	emmaus
스다구에게	urbanus
리노와	
그리스도	meshiha
찾아보고	ptolemais
시내산에서	arabia
합니다”라고	baal
나인이란	nain
failed to convert "소속의": translation failed
삼손	samson
스데바나의	
마리아는	
세베대의	zebedee
마케도니아	makedonia
채가	bethesda
베드로에게	
소바더	pyrrhus
모이는	assemble
바락	barak
알렉산드리아의	alexandria
디도를	titus
보충해	achaicus
바메나	parmenas
하란에서	haran
예레미야나	
과부에게만	zarephath
다대오	thaddaeus
디모데는	timotheos
엘리야가	elias
라멕이었다	lamech
데라	
노아가	noah
아레오바고	areopagus
므낫세	manasseh
못에	siloam
나단의	mattatha
입다	jephthah
그리스도	meshiha
거라사	gadarenes
다녔다	molech
부대장이	hush
빌롤로고	philologus
아벨의	abel
마리아는	
요람은	joram
유스도라는	
두아디라	
히브리	hebrew
failed to convert "여호사밧은": translation failed
5여고냐와	jeconiah
빌립보에서	philipos
출발하였다	candace
요한이	juchanon
본디오	pontius
표를	mark
도움으로	beelzebub
아가보라는	agabus
많은	lot
에베소에	ephesus
에녹은	enoch
허마	hermas
여신	artemis
낙개의	naggai
베드로가	
마가단	magadan
글로바의	clopas
더베로	lycaonia
섬에서	castor
웃시야는	eliud
벳새다	bethsaida
애니아씨	aeneas
버니게가	bernice
예수님은	yeshua
자란	niger
황제에게	cesar
셈의	arphaxad
유대인이지만	gamaliel
보르기오	porcius
베뢰아	berea
엘리웃은	eliud
라오디게아	laodicea
보아스를	
아브라함의	abrahams
수산나	shushan
이사야의	esaias
가이사랴에	caesarea
요한이	juchanon
failed to convert "생각했습니다": translation failed
요세의	
아벨레에게	apelles
청하였다	blastus
앗소에서	assos
황제에게	cesar
오신다”라고	sion
디모데는	timotheos
요셉은	joseph
피하시오	shun
비두니아	bithynia
사탄이	satana
오네시보로의	onesiphorus
베레스의	
유대인의	jihudoyee
하나님이셨다	seth
달마디아로	
알패오의	alphaeus
마케도니아	makedonia
장수도	lydia
부탁드립니다	el
막달라	magdalene
failed to convert "지성적인": translation failed
마케도니아	makedonia
빌라도는	
세나를	zenas
아빌레네	lysanias
나사로를	
묻혔습니다	sychem
니게르라고	manaen
failed to convert "2암미나답을": translation failed
삭개오는	zacchaeus
두드리자	rhoda
갈라디아	
기스의	
갈리오가	
여리고에	
기슭	bethphage
모세가	musha
에르의	joshua
호세아의	hosea
허모게네가	hermas
	
failed to convert "숭배하지": translation failed
이탈리아에서	italy
미둘레네로	mitylene
회당이	apollonia
솔로몬이	solomon
스알디엘의	rhesa
failed to convert "이집트에서": translation failed
아가야	achaia
디두모라고	didymus
바돌로매	bartholomew
시내산을	arabia
셀라의	shelah
가이난이었다	cainan
바라바를	barabbas
아하스는	
거지	bartimaeus
헤로디아의	
사가랴의	zacharias
failed to convert "나홀의": translation failed
가기가	
드로아에	
시돈	sidon
이두매	idumea
말고의	malchus
밀레도에	miletus
에바브로디도를	titus
빌립에게	philipos
failed to convert "아킴은": translation failed
대이다	
모세가	musha
failed to convert "묘지에": translation failed
안드로니고와	
디몬	simon
failed to convert "받겠다고": translation failed
아사는	
사마리아	
지옥	antioch
가버나움으로	bernice beelzebub
이탈리아에	italy
본도	pontius
바리새파	sadducees
사무엘	lycia
failed to convert "메소포타미아": translation failed
요엘은	
시온에	herodion
마리아는	
failed to convert "속옷과": translation failed
나다나엘이	gabriel
유오디아와	
섬에서	castor
빌레도가	
헤스론은	babylon
failed to convert "사랑하여": translation failed
failed to convert "아굴라와": translation failed
failed to convert "메소포타미아": translation failed
바보에	
앗달리아로	assos
failed to convert "요단강": translation failed
불신앙의	zebulun drusilla
failed to convert "7에슬리": translation failed
안나스는	
자가	
니가노르	sychar
리브가의	
failed to convert "드루배나와": translation failed
드다가	
빌레몬과	
사마리아	
엘르아살은	sychar
소스데네는	
failed to convert "대항한": translation failed
요람은	joram
의회	apollonia
나이	
failed to convert "크레테섬의": translation failed
failed to convert "납달리": translation failed
에바다	
비시디아를	
베드로가	
failed to convert "고린도에": translation failed
안드레	
스룹바벨을	zerubbabel
아리스다고와	
버가모	bernice
그리스도	meshiha
유대인	jihudoya
failed to convert "나깃수의": translation failed
마르다	sychar
failed to convert "3일을": translation failed
임마누엘’이라	ephraim dalmanutha
발람의	aram
야손과	
failed to convert "얀네와": translation failed
failed to convert "암블리아에게": translation failed
로도에	
failed to convert "밤빌리아": translation failed
누기오와	luke
엘리야가	elias
구레네	quartus
failed to convert "동산으로": translation failed
버가에서	bernice
failed to convert "총독에게": translation failed
failed to convert "쌍둥이를": translation failed
failed to convert "게네사렛": translation failed
유다	
failed to convert "나홀의": translation failed
주	
베드로가	
네압볼리를	apphia decapolis
failed to convert "작정입니다": translation failed
길리기아	priscilla
failed to convert "이집트": translation failed
failed to convert "사독은": translation failed
바나바와	
안디바드리로	
버시에게	bernice
이스라엘	isroel
천합니다	cenchreae
스게와의	
아순그리도	syntyche messiah
failed to convert "일루리곤까지": translation failed
시리아로	
엘리사벳은	elisabeth
failed to convert "나사렛": translation failed
유니게에게	
failed to convert "메뚜기떼에게는": translation failed
5여고냐와	jeconiah
failed to convert "형제인": translation failed
나에게로	
아소르는	azotus sychar
failed to convert "여럿": translation failed
failed to convert "스룩": translation failed
가나안	cana midian
바리새파	sadducees
가보의	
니고데모가	
failed to convert "맛닷": translation failed

stack usage:  17

